app,date,campaign,os,installs,spend,cpi
auto,2019-02-11,MSK_SPB,android,4.0,492.8700000000001,123.21750000000003
auto,2019-02-11,MSK_SPB,ios,2.0,132.42,66.21
auto,2019-02-11,RU,android,187.0,13677.700000000003,73.14278074866311
auto,2019-02-11,RU,ios,21.0,1632.3799999999999,77.73238095238095
auto,2019-02-11,SPB,android,4.0,251.29,62.8225
auto,2019-02-11,SPB,ios,0.0,35.67000000000001,inf
auto,2019-02-12,MSK_SPB,android,6.0,529.9,88.31666666666666
auto,2019-02-12,MSK_SPB,ios,1.0,60.6,60.6
auto,2019-02-12,RU,android,221.0,18405.64,83.28343891402714
auto,2019-02-12,RU,ios,13.0,1220.8399999999997,93.9107692307692
auto,2019-02-12,SPB,android,4.0,306.23,76.5575
auto,2019-02-12,SPB,ios,0.0,28.7,inf
auto,2019-02-13,MSK_SPB,android,7.0,797.6600000000002,113.9514285714286
auto,2019-02-13,MSK_SPB,ios,0.0,143.89,inf
auto,2019-02-13,RU,android,583.0,64017.970000000016,109.8078387650086
auto,2019-02-13,RU,ios,14.0,2938.440000000001,209.8885714285715
auto,2019-02-13,SPB,android,6.0,494.2900000000001,82.38166666666667
auto,2019-02-13,SPB,ios,0.0,59.279999999999994,inf
auto,2019-02-14,MSK_SPB,android,4.0,578.1200000000001,144.53000000000003
auto,2019-02-14,MSK_SPB,ios,5.0,380.01000000000005,76.00200000000001
auto,2019-02-14,RU,android,242.0,18783.449999999997,77.61756198347106
auto,2019-02-14,RU,ios,39.0,7347.5999999999985,188.39999999999995
auto,2019-02-14,SPB,android,1.0,189.73999999999998,189.73999999999998
auto,2019-02-14,SPB,ios,1.0,104.13000000000001,104.13000000000001
auto,2019-02-15,MSK_SPB,android,8.0,778.4299999999998,97.30374999999998
auto,2019-02-15,MSK_SPB,ios,6.0,592.2500000000001,98.70833333333336
auto,2019-02-15,RU,android,522.0,51422.060000000005,98.50969348659005
auto,2019-02-15,RU,ios,50.0,8336.6,166.732
auto,2019-02-15,SPB,android,6.0,805.96,134.32666666666668
auto,2019-02-15,SPB,ios,1.0,122.1,122.1
auto,2019-02-16,MSK_SPB,android,12.0,1185.7099999999998,98.80916666666666
auto,2019-02-16,MSK_SPB,ios,2.0,222.85000000000002,111.42500000000001
auto,2019-02-16,RU,android,345.0,31800.52,92.17542028985507
auto,2019-02-16,RU,ios,24.0,2775.6400000000012,115.65166666666671
auto,2019-02-16,SPB,android,3.0,306.71,102.23666666666666
auto,2019-02-16,SPB,ios,2.0,157.28,78.64
auto,2019-02-16,SPB,server,0.0,1.45,inf
auto,2019-02-17,MSK_SPB,android,5.0,561.76,112.352
auto,2019-02-17,MSK_SPB,ios,2.0,417.67,208.835
auto,2019-02-17,RU,android,333.0,27844.949999999993,83.61846846846845
auto,2019-02-17,RU,ios,67.0,6433.46,96.02179104477612
auto,2019-02-17,SPB,android,8.0,465.1000000000001,58.13750000000001
auto,2019-02-17,SPB,ios,3.0,180.86,60.28666666666667
auto,2019-02-18,MSK_SPB,android,17.0,1500.46,88.26235294117647
auto,2019-02-18,MSK_SPB,ios,7.0,448.44000000000005,64.06285714285715
auto,2019-02-18,RU,android,312.0,29180.43000000001,93.52701923076927
auto,2019-02-18,RU,ios,50.0,7705.940000000001,154.11880000000002
auto,2019-02-18,SPB,android,3.0,519.4799999999999,173.15999999999997
auto,2019-02-18,SPB,ios,1.0,125.58000000000001,125.58000000000001
auto,2019-02-19,MSK_SPB,android,56.0,5196.880000000002,92.8014285714286
auto,2019-02-19,MSK_SPB,ios,0.0,163.24,inf
auto,2019-02-19,RU,android,922.0,97322.96000000002,105.55635574837312
auto,2019-02-19,RU,ios,33.0,4343.8,131.63030303030303
auto,2019-02-19,SPB,android,41.0,3534.47,86.20658536585366
auto,2019-02-19,SPB,ios,0.0,58.629999999999995,inf
auto,2019-02-20,MSK_SPB,android,26.0,1809.48,69.59538461538462
auto,2019-02-20,MSK_SPB,ios,2.0,118.09999999999998,59.04999999999999
auto,2019-02-20,RU,android,461.0,39182.85999999999,84.99535791757049
auto,2019-02-20,RU,ios,28.0,1499.7100000000012,53.56107142857147
auto,2019-02-20,SPB,android,5.0,1059.3799999999999,211.87599999999998
auto,2019-02-20,SPB,ios,0.0,45.410000000000004,inf
auto,2019-02-21,MSK_SPB,android,20.0,2514.0300000000007,125.70150000000004
auto,2019-02-21,MSK_SPB,ios,1.0,47.199999999999996,47.199999999999996
auto,2019-02-21,RU,android,378.0,33155.12999999998,87.71198412698408
auto,2019-02-21,RU,ios,75.0,3715.85,49.544666666666664
auto,2019-02-21,SPB,android,15.0,1742.9499999999998,116.19666666666666
auto,2019-02-21,SPB,ios,0.0,0.25,inf
auto,2019-02-22,MSK_SPB,android,9.0,937.1999999999999,104.13333333333333
auto,2019-02-22,MSK_SPB,ios,0.0,11.53,inf
auto,2019-02-22,RU,android,300.0,22531.410000000003,75.10470000000001
auto,2019-02-22,RU,ios,113.0,1833.37,16.22451327433628
auto,2019-02-22,SPB,android,8.0,787.21,98.40125
auto,2019-02-23,MSK_SPB,android,9.0,800.93,88.99222222222221
auto,2019-02-23,MSK_SPB,ios,0.0,11.3,inf
auto,2019-02-23,RU,android,255.0,20245.369999999995,79.39360784313723
auto,2019-02-23,RU,ios,77.0,1143.5300000000002,14.851038961038963
auto,2019-02-23,SPB,android,5.0,616.92,123.38399999999999
auto,2019-02-24,MSK_SPB,android,27.0,2495.1,92.41111111111111
auto,2019-02-24,MSK_SPB,ios,1.0,22.23,22.23
auto,2019-02-24,RU,android,636.0,52607.86,82.7167610062893
auto,2019-02-24,RU,ios,89.0,1500.23,16.856516853932586
auto,2019-02-24,SPB,android,15.0,1080.93,72.062
auto,2019-02-25,MSK_SPB,android,22.0,1818.3700000000001,82.65318181818182
auto,2019-02-25,MSK_SPB,ios,1.0,22.58,22.58
auto,2019-02-25,RU,android,694.0,54764.73,78.91171469740634
auto,2019-02-25,RU,ios,97.0,1831.0000000000002,18.87628865979382
auto,2019-02-25,SPB,android,11.0,1239.03,112.63909090909091
auto,2019-02-26,MSK_SPB,android,16.0,1225.4500000000003,76.59062500000002
auto,2019-02-26,MSK_SPB,ios,0.0,35.08,inf
auto,2019-02-26,RU,android,433.0,32530.320000000007,75.12775981524251
auto,2019-02-26,RU,ios,80.0,1821.7300000000002,22.771625000000004
auto,2019-02-26,SPB,android,2.0,510.22999999999996,255.11499999999998
auto,2019-02-27,MSK_SPB,android,32.0,2796.51,87.3909375
auto,2019-02-27,MSK_SPB,ios,0.0,23.51,inf
auto,2019-02-27,RU,android,428.0,38635.659999999996,90.2702336448598
auto,2019-02-27,RU,ios,93.0,1463.85,15.74032258064516
auto,2019-02-27,SPB,android,11.0,1882.4300000000003,171.13000000000002
auto,2019-02-28,MSK_SPB,android,23.0,2119.64,92.15826086956521
auto,2019-02-28,MSK_SPB,ios,0.0,17.9,inf
auto,2019-02-28,RU,android,293.0,20630.709999999992,70.41197952218427
auto,2019-02-28,RU,ios,61.0,1972.4799999999996,32.335737704918024
auto,2019-02-28,SPB,android,8.0,776.2700000000001,97.03375000000001
auto,2019-03-01,MSK_SPB,android,20.0,1482.6,74.13
auto,2019-03-01,MSK_SPB,ios,0.0,28.01,inf
auto,2019-03-01,RU,android,261.0,17184.710000000003,65.84180076628354
auto,2019-03-01,RU,ios,31.0,1530.91,49.3841935483871
auto,2019-03-01,SPB,android,8.0,658.1899999999999,82.27374999999999
auto,2019-03-02,MSK_SPB,android,27.0,2206.6099999999997,81.72629629629628
auto,2019-03-02,MSK_SPB,ios,0.0,27.11,inf
auto,2019-03-02,RU,android,331.0,23825.439999999995,71.98018126888216
auto,2019-03-02,RU,ios,23.0,1198.08,52.09043478260869
auto,2019-03-02,SPB,android,11.0,911.64,82.87636363636364
auto,2019-03-03,MSK_SPB,android,51.0,3528.4599999999996,69.18549019607842
auto,2019-03-03,MSK_SPB,ios,0.0,14.94,inf
auto,2019-03-03,RU,android,460.0,35418.6,76.99695652173912
auto,2019-03-03,RU,ios,28.0,1668.12,59.575714285714284
auto,2019-03-03,SPB,android,9.0,1312.09,145.78777777777776
auto,2019-03-04,MSK_SPB,android,20.0,1942.35,97.11749999999999
auto,2019-03-04,MSK_SPB,ios,0.0,19.82,inf
auto,2019-03-04,RU,android,261.0,16708.719999999998,64.01808429118773
auto,2019-03-04,RU,ios,36.0,1969.1800000000003,54.69944444444445
auto,2019-03-04,SPB,android,6.0,351.77,58.62833333333333
auto,2019-03-05,MSK_SPB,android,17.0,1808.51,106.38294117647058
auto,2019-03-05,MSK_SPB,ios,1.0,27.35,27.35
auto,2019-03-05,RU,android,288.0,16634.200000000004,57.757638888888906
auto,2019-03-05,RU,ios,33.0,1451.0,43.96969696969697
auto,2019-03-05,SPB,android,1.0,299.88,299.88
auto,2019-03-06,MSK_SPB,android,22.0,2077.06,94.41181818181818
auto,2019-03-06,MSK_SPB,ios,0.0,22.39,inf
auto,2019-03-06,RU,android,367.0,32668.029999999995,89.01370572207084
auto,2019-03-06,RU,ios,27.0,1350.77,50.02851851851852
auto,2019-03-06,SPB,android,5.0,766.5400000000001,153.30800000000002
auto,2019-03-07,MSK_SPB,android,15.0,1782.7399999999998,118.84933333333332
auto,2019-03-07,MSK_SPB,ios,0.0,44.17,inf
auto,2019-03-07,RU,android,396.0,35925.69000000001,90.72143939393942
auto,2019-03-07,RU,ios,22.0,1699.49,77.24954545454545
auto,2019-03-07,SPB,android,7.0,876.55,125.22142857142856
auto,2019-03-08,MSK_SPB,android,18.0,2076.66,115.36999999999999
auto,2019-03-08,MSK_SPB,ios,0.0,42.31,inf
auto,2019-03-08,RU,android,299.0,25444.319999999996,85.09806020066888
auto,2019-03-08,RU,ios,18.0,1480.8100000000002,82.26722222222223
auto,2019-03-08,SPB,android,3.0,415.37000000000006,138.45666666666668
auto,2019-03-09,MSK_SPB,android,23.0,2719.62,118.24434782608695
auto,2019-03-09,MSK_SPB,ios,0.0,43.58,inf
auto,2019-03-09,RU,android,321.0,25206.329999999994,78.52439252336447
auto,2019-03-09,RU,ios,41.0,2012.02,49.07365853658536
auto,2019-03-09,SPB,android,4.0,378.4,94.6
auto,2019-03-10,MSK_SPB,android,17.0,1475.44,86.79058823529412
auto,2019-03-10,MSK_SPB,ios,2.0,29.72,14.86
auto,2019-03-10,RU,android,327.0,22551.959999999992,68.96623853211007
auto,2019-03-10,RU,ios,38.0,2317.7599999999998,60.99368421052631
auto,2019-03-10,SPB,android,0.0,117.16000000000001,inf
auto,2019-03-11,MSK_SPB,android,8.0,694.5600000000001,86.82000000000001
auto,2019-03-11,MSK_SPB,ios,1.0,7.43,7.43
auto,2019-03-11,RU,android,162.0,10552.849999999999,65.14104938271603
auto,2019-03-11,RU,ios,9.0,743.3899999999999,82.59888888888888
